city,avg_sunday_holiday_rides,month_beginning,routename,monthtotal,avg_weekday_rides,avg_saturday_rides,route
Chicago,5694.7,2001-04-01,Roosevelt,279647,10568.6,7308.0,12
Chicago,337.6,2001-01-01,West Lawrence,39738,1577.3,837.2,81W
Chicago,0.0,2001-02-01,Narragansett/Ridgeland,43741,2187.0,0.0,86
Chicago,732.2,2001-04-01,16th/18th,43079,1685.9,1003.6,18
Chicago,1810.1,2001-01-01,35th,153931,5977.7,3342.5,35
Chicago,6120.1,2001-04-01,Kedzie/California,324477,12301.4,8886.6,52
Chicago,0.0,2001-01-01,Streeterville/Taylor,72933,3315.2,0.0,157
Chicago,2187.6,2001-03-01,South Kedzie,169595,6445.2,3810.1,52A
Chicago,0.0,2001-04-01,Pershing,46837,2230.3,0.0,39
Chicago,0.0,2001-02-01,Sedgwick,51866,2593.3,0.0,37
Chicago,7509.4,2001-04-01,Jackson Park Express,471177,18238.5,12655.7,6
Chicago,305.9,2001-04-01,United Center Express,4109,466.2,860.7,19
Chicago,5414.0,2001-03-01,Division,303846,11037.6,7872.4,70
Chicago,1372.4,2001-01-01,Armitage,127491,4994.3,2688.6,73
Chicago,2860.6,2001-04-01,Michigan/119th,149661,5447.5,5239.8,119
Chicago,0.0,2001-01-01,Foster-Canfield,7419,337.2,0.0,64
Chicago,46.6,2001-01-01,U. of Chicago/Kenwood,20116,890.2,74.4,172
Chicago,6465.1,2001-04-01,Cermak,226926,7623.9,8625.0,21
Chicago,0.0,2001-03-01,Cumberland/East River,9733,442.4,0.0,69
Chicago,0.0,2001-01-01,Ridge/Grant,35053,1593.3,0.0,203
Chicago,0.0,2001-02-01,Illinois Center/Ogilvie Express,21067,1053.4,0.0,122
Chicago,1925.5,2001-01-01,South Kedzie,154232,5919.1,3596.1,52A
Chicago,15573.7,2001-01-01,79th,833507,30018.4,23808.6,79
Chicago,5583.1,2001-04-01,Diversey,369563,14598.5,8769.4,76
Chicago,0.0,2001-03-01,59th/61st,112201,4569.0,2336.7,59
Chicago,8943.3,2001-04-01,Lawrence,420979,15459.7,12902.1,81
Chicago,0.0,2001-01-01,Main/Emerson,10563,480.1,0.0,202
Chicago,0.0,2001-03-01,Madison/Roosevelt Circulator,3997,181.7,0.0,127
Chicago,0.0,2001-04-01,Cumberland/East River,8262,393.4,0.0,69
Chicago,0.0,2001-03-01,Dodge,37197,1690.8,0.0,204
Chicago,1100.0,2001-02-01,Cermak Express,10639,0.0,1559.9,X21
Chicago,0.0,2001-02-01,55th/Narragansett,23891,1162.0,162.8,55N
Chicago,178.3,2001-01-01,U. of Chicago/Hyde Park,21573,864.9,413.2,171
Chicago,9553.9,2001-04-01,Chicago,551821,21052.5,15487.3,66
Chicago,0.0,2001-01-01,Halsted/95th,64417,2928.1,0.0,108
Chicago,0.0,2001-02-01,Harrison,113688,5684.4,0.0,7
Chicago,0.0,2001-01-01,Ogilvie/Wacker Express,13982,635.5,0.0,120
Chicago,0.0,2001-01-01,Mag Mile Express,16944,770.2,0.0,33
Chicago,0.0,2001-01-01,59th/61st,102622,4260.5,2222.6,59
Chicago,124.1,2001-03-01,U. of Chicago/Lakeview Express,6247,206.2,243.0,173
Chicago,427.3,2001-03-01,West 63rd,56594,2323.6,753.2,63W
Chicago,0.0,2001-03-01,Ridge/Grant,37416,1700.7,0.0,203
Chicago,0.0,2001-03-01,North Milwaukee,13941,633.7,0.0,56A
Chicago,2091.9,2001-02-01,North Western,122332,5039.0,3296.3,49B
Chicago,0.0,2001-03-01,Indiana/Hyde Park,166579,7571.8,0.0,1
Chicago,3080.6,2001-02-01,74th-75th,178935,7381.3,4746.8,75
Chicago,0.0,2001-04-01,Union/Wacker Express,35715,1700.7,0.0,121
Chicago,1877.1,2001-02-01,South Kedzie,142769,6113.8,3246.1,52A
Chicago,6168.6,2001-02-01,87th,390526,16279.6,10064.7,87
Chicago,0.0,2001-04-01,Jeffery Express,204237,9725.6,0.0,14
Chicago,8339.9,2001-04-01,North,423154,15970.2,11519.9,72
Chicago,0.0,2001-02-01,Western Express,113085,5654.3,0.0,X49
Chicago,5264.0,2001-01-01,Division,301077,11102.5,7625.8,70
Chicago,1196.0,2001-03-01,West 103rd,98619,3883.1,1681.2,103
Chicago,3177.5,2001-02-01,Michigan/119th,141151,5484.8,4686.4,119
Chicago,0.0,2001-03-01,Lunt,28449,1293.1,0.0,96
Chicago,0.0,2001-02-01,Ridge/Grant,36476,1823.8,0.0,203
Chicago,5260.9,2001-02-01,Central,320389,13316.8,8252.3,85
Chicago,1155.9,2001-02-01,West 103rd,87493,3852.0,1457.5,103
Chicago,0.0,2001-04-01,Mag Mile Express,13083,623.0,0.0,33
Chicago,1617.3,2001-04-01,Armitage,129844,5350.8,2348.0,73
Chicago,9303.4,2001-04-01,State,461607,17241.6,13254.5,29
Chicago,3213.3,2001-03-01,93rd-95th,167062,5881.4,4963.7,95E
Chicago,8297.1,2001-04-01,Kimball-Homan,524259,20346.4,13874.5,82
Chicago,1672.9,2001-03-01,South Pulaski,239686,9781.8,3558.8,53A
Chicago,1805.7,2001-01-01,Grand,169020,6695.3,3173.9,65
Chicago,0.0,2001-01-01,LaSalle,198859,9039.1,0.0,156
Chicago,12524.6,2001-03-01,Western,688429,24336.2,20586.9,49
Chicago,7688.1,2001-03-01,North,442762,16133.3,11415.2,72
Chicago,3580.5,2001-01-01,South Michigan,214933,7911.6,5744.2,34
Chicago,424.3,2001-02-01,West 63rd,48975,2234.9,644.8,63W
Chicago,5552.8,2001-04-01,Central,336985,13056.0,8761.3,85
Chicago,0.0,2001-01-01,Sheridan/LaSalle Express,45218,2055.4,0.0,136
Chicago,0.0,2001-02-01,Indiana/Hyde Park,148028,7401.4,0.0,1
Chicago,8857.2,2001-02-01,State,433873,17481.6,12203.1,29
Chicago,3093.9,2001-02-01,West 95th,138913,5348.8,4890.2,95W
Chicago,2243.8,2001-02-01,Pullman/111th/115th,151009,6361.6,3700.4,111
Chicago,4642.1,2001-02-01,Archer,355110,15473.0,6770.3,62
Chicago,1669.7,2001-04-01,Wallace-Racine,156748,6475.3,3104.4,44
Chicago,0.0,2001-04-01,North Harlem,9114,404.6,154.6,90N
Chicago,11694.7,2001-01-01,Sheridan,634324,23604.8,14136.3,151
Chicago,2601.5,2001-04-01,Austin,204625,8288.6,4389.1,91
Chicago,0.0,2001-04-01,Lunt,24698,1176.1,0.0,96
Chicago,0.0,2001-02-01,Water Tower Express,47699,2385.0,0.0,125
Chicago,253.2,2001-03-01,U. of Chicago/Hyde Park,23436,948.2,312.5,171
Chicago,6289.6,2001-02-01,Milwaukee,355380,14732.9,8891.0,56
Chicago,1419.2,2001-02-01,Armitage,120886,5320.6,2199.4,73
Chicago,0.0,2001-04-01,South Western,8292,394.9,0.0,49A
Chicago,4827.2,2001-01-01,Diversey,348404,13254.3,8168.3,76
Chicago,0.0,2001-04-01,Harrison,111146,5292.7,0.0,7
Chicago,2753.9,2001-03-01,South Cicero,148677,5084.5,5160.6,54B
Chicago,1706.3,2001-02-01,Grand,156050,6868.3,2964.6,65
Chicago,0.0,2001-01-01,South Western,7332,333.3,0.0,49A
Chicago,10142.3,2001-03-01,Pulaski,612322,22336.2,16071.4,53
Chicago,8537.9,2001-01-01,State,451955,16328.2,12511.5,29
Chicago,2227.2,2001-04-01,Pullman/111th/115th,151193,5973.0,3655.8,111
Chicago,3353.7,2001-02-01,Inner Drive/Michigan Express,220082,9206.2,5636.2,146
Chicago,1336.2,2001-01-01,South Halsted,89030,3196.5,3006.6,8A
Chicago,5632.1,2001-02-01,Kedzie/California,303947,12412.4,8292.8,52
Chicago,3888.0,2001-02-01,Devon,182199,7303.0,5146.8,155
Chicago,2758.7,2001-04-01,South California,258577,10711.3,4961.7,94
Chicago,0.0,2001-02-01,North Cicero/Skokie Blvd.,27474,1373.7,0.0,54A
Chicago,965.9,2001-02-01,Vincennes/111th,89438,4003.7,1374.8,112
Chicago,3274.2,2001-01-01,Montrose,235297,8891.8,5826.3,78
Chicago,11882.2,2001-03-01,63rd,636114,22720.8,17745.8,63
Chicago,0.0,2001-01-01,Jeffery Express,186655,8484.3,0.0,14
Chicago,0.0,2001-01-01,69th-UPS Express,19704,885.9,53.7,169
Chicago,2091.2,2001-03-01,North Western,138538,5150.2,3373.9,49B
Chicago,0.0,2001-02-01,Archer/Harlem,31155,1447.2,552.9,62H
Chicago,511.2,2001-03-01,Cermak Express,7915,0.0,1174.0,X21
Chicago,8979.5,2001-03-01,King Drive,617646,23081.6,14786.6,3
Chicago,0.0,2001-04-01,Western Express,111517,5310.4,0.0,X49
Chicago,5978.7,2001-02-01,Stony Island,320893,12843.1,10029.1,28
Chicago,0.0,2001-03-01,Illinois Center/Union Express,16518,750.8,0.0,123
Chicago,0.0,2001-01-01,Illinois Center/Union Express,19495,886.2,0.0,123
Chicago,0.0,2001-01-01,South Damen,24654,1120.6,0.0,48
Chicago,0.0,2001-03-01,Archer/Harlem,35528,1454.0,708.1,62H
Chicago,6018.0,2001-03-01,Stony Island,365786,13173.1,10381.4,28
Chicago,3175.5,2001-04-01,93rd-95th,154050,5712.1,4554.7,95E
Chicago,8496.7,2001-03-01,Madison,601687,22559.6,14278.0,20
Chicago,922.7,2001-03-01,Vincennes/111th,100654,4067.3,1496.5,112
Chicago,2606.7,2001-03-01,Foster,206363,7906.6,4398.3,92
Chicago,8920.7,2001-02-01,Belmont,502001,20885.2,12153.8,77
Chicago,5112.6,2001-01-01,Kedzie/California,313490,11592.4,8223.9,52
Chicago,0.0,2001-04-01,Hyde Park Express,16993,809.2,0.0,2
Chicago,6194.3,2001-04-01,Irving Park,333407,12655.2,9169.1,80
Chicago,2287.1,2001-01-01,Addison,265503,10738.1,4457.2,152
Chicago,0.0,2001-03-01,North Central,19209,853.5,86.5,85A
Chicago,8143.2,2001-03-01,Lawrence,431828,15298.6,12536.9,81
Chicago,0.0,2001-01-01,Archer/Harlem,33189,1392.2,640.0,62H
Chicago,0.0,2001-03-01,Foster-Canfield,5912,268.7,0.0,64
Chicago,9369.9,2001-02-01,Pulaski,537359,22111.6,14411.7,53
Chicago,3809.4,2001-02-01,South Michigan,203824,8251.8,5887.7,34
Chicago,0.0,2001-01-01,Union/Wacker Express,26633,1210.6,0.0,121
Chicago,341.8,2001-02-01,Central/Ridge,29896,1314.6,559.2,201
Chicago,0.0,2001-02-01,Dodge,31565,1578.3,0.0,204
Chicago,3106.5,2001-03-01,South California,277684,10912.0,5038.8,94
Chicago,0.0,2001-01-01,California/Dodge,53246,2228.0,1057.5,93
Chicago,0.0,2001-04-01,Illinois Center/Ogilvie Express,21488,1023.2,0.0,122
Chicago,9374.7,2001-04-01,Belmont,527712,20291.7,13678.0,77
Chicago,1364.8,2001-04-01,Skokie,94029,3687.8,2440.6,97
Chicago,3117.4,2001-01-01,Inner Drive/Michigan Express,242849,9355.1,5362.4,146
Chicago,5125.9,2001-02-01,Roosevelt,267751,11000.4,6809.7,12
Chicago,16940.5,2001-04-01,79th,845259,31499.9,24764.6,79
Chicago,1831.2,2001-01-01,Wilson/Michigan Express,203232,8074.3,4110.5,145
Chicago,0.0,2001-02-01,Foster-Canfield,5986,299.3,0.0,64
Chicago,0.0,2001-02-01,South Western,8882,444.1,0.0,49A
Chicago,1560.6,2001-02-01,Wallace-Racine,154768,6877.6,2743.4,44
Chicago,3860.6,2001-03-01,Inner Drive/Michigan Express,263590,9819.9,6422.2,146
Chicago,257.5,2001-02-01,Northwest Highway,38803,1758.8,649.5,68
Chicago,0.0,2001-02-01,Westchester,10638,531.9,0.0,17
Chicago,0.0,2001-02-01,Union/Wacker Express,26900,1345.0,0.0,121
Chicago,2997.4,2001-04-01,Damen,221429,8866.3,5062.4,50
Chicago,9279.6,2001-02-01,Halsted,502067,20741.7,12528.9,8
Chicago,0.0,2001-02-01,Wentworth,88063,4403.2,0.0,24
Chicago,3555.3,2001-01-01,Devon,198930,7283.4,5229.9,155
Chicago,12396.5,2001-02-01,Western,614464,24342.7,19506.1,49
Chicago,5705.8,2001-03-01,Diversey,380431,14294.0,8627.8,76
Chicago,2365.4,2001-04-01,North Western,134195,5123.2,3695.2,49B
Chicago,0.0,2001-03-01,LaSalle,207273,9421.5,0.0,156
Chicago,2072.9,2001-03-01,Wilson/Michigan Express,220934,8718.2,4168.7,145
Chicago,2589.8,2001-02-01,South Cicero,123486,4818.1,4191.1,54B
Chicago,5650.0,2001-03-01,87th,453521,17093.7,10971.7,87
Chicago,0.0,2001-03-01,Clarendon/LaSalle Express,62701,2850.0,0.0,135
Chicago,5484.3,2001-02-01,Diversey,324993,13775.4,6886.9,76
Chicago,2381.5,2001-04-01,South Kedzie,165038,6568.3,3799.0,52A
Chicago,1503.4,2001-02-01,Harlem,95804,3967.0,2612.5,90
Chicago,7307.1,2001-03-01,Milwaukee,420547,15492.3,10097.6,56
Chicago,398.4,2001-01-01,East 103rd,55265,2317.8,570.3,106
Chicago,0.0,2001-02-01,North Central,17802,879.8,51.8,85A
Chicago,6234.8,2001-03-01,Irving Park,340221,12315.9,8866.3,80
Chicago,2384.8,2001-01-01,Austin,218421,8583.5,4415.0,91
Chicago,1417.1,2001-01-01,South Pulaski,218700,9037.4,3198.0,53A
Chicago,372.9,2001-01-01,Museum of S & I,4115,0.0,562.6,10
Chicago,8725.3,2001-01-01,King Drive,567413,21406.5,13210.7,3
Chicago,0.0,2001-03-01,Jeffery Manor Express,27636,1256.2,0.0,100
Chicago,0.0,2001-03-01,North Harlem,7604,309.9,157.2,90N
Chicago,9533.3,2001-04-01,King Drive,568992,21917.1,15266.7,3
Chicago,0.0,2001-01-01,Illinois Center/Ogilvie Express,24705,1122.9,0.0,122
Chicago,2817.7,2001-02-01,Jackson,246048,10761.9,4884.7,126
Chicago,9466.2,2001-01-01,Pulaski,589242,21726.0,15984.4,53
Chicago,0.0,2001-01-01,Cumberland/East River,8761,417.2,0.0,69
Chicago,7558.0,2001-01-01,Lawrence,402803,14489.3,11561.8,81
Chicago,2556.7,2001-01-01,West 95th,144468,5162.6,4526.5,95W
Chicago,0.0,2001-01-01,Indiana/Hyde Park,153617,6982.6,0.0,1
Chicago,0.0,2001-03-01,Sheridan/LaSalle Express,42990,1954.1,0.0,136
Chicago,0.0,2001-02-01,Clarendon/LaSalle Express,54070,2703.5,0.0,135
Chicago,1721.4,2001-04-01,South Halsted,87040,3170.6,2962.7,8A
Chicago,5852.5,2001-03-01,Cermak,237571,7861.8,8240.3,21
Chicago,642.3,2001-01-01,16th/18th,49130,1923.8,898.5,18
Chicago,969.2,2001-02-01,Lincoln/Sedgwick,82644,3606.1,1661.2,11
Chicago,6174.4,2001-01-01,Milwaukee,381555,14274.6,9160.4,56
Chicago,3854.5,2001-04-01,47th,222711,8463.6,6425.6,47
Chicago,8280.8,2001-01-01,Halsted,521892,19582.2,12420.0,8
Chicago,487.6,2001-02-01,East 103rd,57661,2663.3,611.2,106
Chicago,17012.3,2001-03-01,79th,903294,31981.4,26330.6,79
Chicago,0.0,2001-03-01,69th-UPS Express,17163,767.5,55.8,169
Chicago,282.5,2001-03-01,Central/Ridge,35445,1413.8,642.2,201
Chicago,689.9,2001-04-01,Laramie,71205,2938.4,1512.5,57
Chicago,0.0,2001-02-01,Halsted/95th,62094,3104.7,0.0,108
Chicago,3525.7,2001-02-01,71st/South Shore,190393,7650.9,5818.3,71
Chicago,358.1,2001-02-01,43rd,31879,1390.6,658.6,43
Chicago,0.0,2001-02-01,West Loop/South Loop,16231,811.5,0.0,129
Chicago,5549.4,2001-03-01,Kedzie/California,337442,12226.5,9252.4,52
Chicago,0.0,2001-02-01,U. of Chicago/Midway,5758,287.9,0.0,170
Chicago,12559.4,2001-02-01,63rd,580890,22932.3,18001.7,63
Chicago,0.0,2001-04-01,California/Dodge,48419,2120.8,970.5,93
Chicago,1954.1,2001-01-01,North Western,133958,5087.6,3065.0,49B
Chicago,8070.9,2001-02-01,Chicago,511938,21441.0,12708.4,66
Chicago,0.0,2001-04-01,Illinois Center/Union Express,16817,800.8,0.0,123
Chicago,0.0,2001-04-01,Jeffery Manor Express,23532,1120.6,0.0,100
Chicago,0.0,2001-03-01,Halsted/95th,70285,3194.8,0.0,108
Chicago,0.0,2001-02-01,West Cermak,4458,222.9,0.0,25
Chicago,11678.0,2001-03-01,Clark,622370,22534.9,15977.9,22
Chicago,444.0,2001-02-01,West Lawrence,35286,1505.2,851.7,81W
Chicago,0.0,2001-02-01,California/Dodge,48884,2249.3,974.8,93
Chicago,1213.7,2001-02-01,Peterson,100176,4369.3,1983.8,84
Chicago,1403.9,2001-03-01,Armitage,135270,5324.8,2501.6,73
Chicago,3558.3,2001-04-01,71st/South Shore,191162,7150.3,5803.4,71
Chicago,11797.6,2001-02-01,Cottage Grove,595896,23907.9,17637.0,4
Chicago,0.0,2001-01-01,North Milwaukee,11938,568.5,0.0,56A
Chicago,8478.8,2001-01-01,Chicago,557759,21001.5,13332.8,66
Chicago,0.0,2001-02-01,Madison/Roosevelt Circulator,4290,214.5,0.0,127
Chicago,1662.5,2001-03-01,Wallace-Racine,176272,6994.1,3150.3,44
Chicago,2377.5,2001-01-01,South Cicero,134823,4775.5,4468.6,54B
Chicago,3467.0,2001-01-01,South California,269786,10603.7,4792.6,94
Chicago,3046.4,2001-03-01,Jackson,282150,11114.2,5090.4,126
Chicago,0.0,2001-03-01,Ogilvie/Wacker Express,18423,837.4,0.0,120
Chicago,0.0,2001-03-01,Outer Drive Express,244988,9739.4,6144.3,147
Chicago,2511.7,2001-04-01,South Cicero,137759,4991.5,5094.7,54B
Chicago,169.4,2001-02-01,U. of Chicago/Lakeview Express,7703,252.5,493.9,173
Chicago,0.0,2001-01-01,Western Express,112899,5131.8,0.0,X49
Chicago,437.3,2001-03-01,West Lawrence,40042,1507.6,1025.1,81W
Chicago,0.0,2001-02-01,LaSalle,182247,9112.3,0.0,156
Chicago,0.0,2001-03-01,West Cermak,6040,274.5,0.0,25
Chicago,6819.6,2001-02-01,Blue Island/26th,345328,14023.4,9395.7,60
Chicago,3102.1,2001-02-01,93rd-95th,147020,5773.6,4785.1,95E
Chicago,523.9,2001-01-01,Higgins,43101,1721.8,650.3,88
Chicago,0.0,2001-02-01,Jeffery Express,180965,9048.2,0.0,14
Chicago,2890.1,2001-01-01,Michigan/119th,147205,5171.2,4747.3,119
Chicago,2092.8,2001-03-01,51st,138600,4966.5,4193.2,51
Chicago,7056.8,2001-04-01,Fullerton,341681,12500.6,10971.2,74
Chicago,869.5,2001-01-01,Lincoln/Sedgwick,86887,3448.7,1667.3,11
Chicago,7563.9,2001-02-01,Lawrence,377721,15145.2,11140.3,81
Chicago,0.0,2001-03-01,Hyde Park Express,18964,862.0,0.0,2
Chicago,6853.7,2001-01-01,North,418889,15417.4,11359.3,72
Chicago,1740.3,2001-04-01,South Pulaski,214091,9133.8,3395.1,53A
Chicago,0.0,2001-04-01,North Milwaukee,13816,657.9,0.0,56A
Chicago,0.0,2001-03-01,South Western,9614,437.0,0.0,49A
Chicago,861.2,2001-02-01,South Chicago,93503,4110.7,1961.2,30
Chicago,0.0,2001-02-01,Hyde Park Express,19535,976.8,0.0,2
Chicago,569.2,2001-03-01,Navy Pier,2860,0.0,860.9,124
Chicago,0.0,2001-01-01,North Cicero/Skokie Blvd.,28188,1281.3,0.0,54A
Chicago,7180.5,2001-03-01,Jackson Park Express,512929,19086.8,12859.5,6
Chicago,704.2,2001-04-01,South Chicago,93261,3837.4,2288.4,30
Chicago,1618.7,2001-03-01,Harlem,108971,3958.2,3083.3,90
Chicago,0.0,2001-04-01,55th/Narragansett,21408,995.0,128.3,55N
Chicago,1942.6,2001-02-01,35th,141693,6043.6,3262.6,35
Chicago,11466.5,2001-01-01,63rd,605727,21814.1,17120.8,63
Chicago,7052.3,2001-02-01,Garfield,328710,13244.6,8902.1,55
Chicago,5991.4,2001-02-01,Cermak,212421,7910.0,7563.8,21
Chicago,0.0,2001-02-01,Sheridan/LaSalle Express,39165,1958.3,0.0,136
Chicago,0.0,2001-02-01,Soldier Field Express,148,0.0,148.1,128
Chicago,0.0,2001-02-01,Lunt,26640,1332.0,0.0,96
Chicago,0.0,2001-01-01,Jeffery Manor Express,25673,1167.0,0.0,100
Chicago,9080.3,2001-03-01,Belmont,567184,20926.5,14095.9,77
Chicago,1145.3,2001-04-01,Vincennes/111th,88667,3646.4,1591.6,112
Chicago,5398.4,2001-03-01,Roosevelt,309052,11387.9,7384.8,12
Chicago,9224.7,2001-02-01,Broadway,404463,15751.5,13133.7,36
Chicago,1564.6,2001-01-01,Wallace-Racine,162910,6559.2,2696.0,44
Chicago,0.0,2001-01-01,Clarendon/LaSalle Express,57669,2621.3,0.0,135
Chicago,0.0,2001-01-01,U. of Chicago/Midway,6315,287.1,0.0,170
Chicago,1071.0,2001-01-01,West 103rd,93121,3704.9,1564.8,103
Chicago,13436.6,2001-04-01,Western,656261,24154.8,20457.0,49
Chicago,2423.6,2001-01-01,South Deering,147904,5629.5,2984.1,27
Chicago,939.9,2001-02-01,Higgins,40925,1705.2,765.6,88
Chicago,0.0,2001-03-01,Wentworth,102721,4669.2,0.0,24
Chicago,7085.0,2001-03-01,Garfield,371515,13365.0,9828.9,55
Chicago,443.7,2001-03-01,Higgins,45048,1796.8,748.5,88
Chicago,1382.3,2001-01-01,Harlem,104289,3880.4,3002.1,90
Chicago,624.6,2001-04-01,Higgins,41849,1701.3,749.7,88
